"",geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,description,data_processing,data_processing.1,data_processing.2,data_processing.3,platform_id,contact_name,contact_institute,contact_address,contact_city,contact_state,contact_zip.postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash
GSM4837814,GSM4837814,10-8A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486067,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317798,NONE,SRR12850830,2020-10-21 16:31:12,2020-10-20 15:51:07,37552625,2785289949,0,74,1189,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/012549/SRR12850830,SRX9317798,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542627,SAMN16486067,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,12D392AB0F0E3F2AA0F024ADC416B16E,06CDB01458BC847B4B4507447903A951
GSM4837815,GSM4837815,11-10T-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486065,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317799,NONE,SRR12850831,2020-10-21 16:31:12,2020-10-20 15:48:54,38052606,2822922825,0,74,1218,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/012549/SRR12850831,SRX9317799,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542628,SAMN16486065,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,EF2AB2F0E75C5C10C5CFBB4D4D23827C,AF4CAAE6F213AE9477C4B41E1C0222EA
GSM4837816,GSM4837816,12-6A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486064,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317800,NONE,SRR12850832,2020-10-21 16:31:12,2020-10-20 15:52:10,36212177,2685744686,0,74,1154,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/012549/SRR12850832,SRX9317800,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542629,SAMN16486064,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,171DB5A8DA6D5396CE232CBFE55BCF7B,B089CADCE99106A79FD436E24FB84B7E
GSM4837817,GSM4837817,13-11T-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486063,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317801,NONE,SRR12850833,2020-10-21 16:31:12,2020-10-20 16:04:24,42174836,3118832602,0,73,1350,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/012549/SRR12850833,SRX9317801,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542630,SAMN16486063,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,E25F1FC0662F27BF860DC33A2BDB256E,772F81B3A5CF8D43D5E6202EBF51C5A3
GSM4837818,GSM4837818,14-7A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486062,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317802,NONE,SRR12850834,2020-10-21 16:31:12,2020-10-20 15:54:22,38610276,2860577582,0,74,1218,https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/012549/SRR12850834,SRX9317802,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542631,SAMN16486062,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,F06B04B2FDE3696F6951D2E28D4B1DC4,9ABB577B6CB52AA0043F7B7F0006EFD2
GSM4837819,GSM4837819,15-13T-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486061,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317803,NONE,SRR12850835,2020-10-21 16:31:12,2020-10-20 15:53:18,40295518,2989330940,0,74,1284,https://sra-download.ncbi.nlm.nih.gov/traces/sra52/SRR/012549/SRR12850835,SRX9317803,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542632,SAMN16486061,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,00C1E14067960A7C5EC9A7B958764874,CFB50D5763D180404E5151BB623C6639
GSM4837820,GSM4837820,16-14T-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486060,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317804,NONE,SRR12850836,2020-10-21 16:31:12,2020-10-20 15:53:06,40036785,2964373607,0,74,1267,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/012549/SRR12850836,SRX9317804,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542633,SAMN16486060,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,EB25FE206AAFE4A97C5763E0B186C208,83B682C66C65401C8930623B46958E87
GSM4837821,GSM4837821,17-9A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486059,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317805,NONE,SRR12850837,2020-10-21 16:31:12,2020-10-20 15:59:16,39919539,2945519445,0,73,1259,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/012549/SRR12850837,SRX9317805,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542634,SAMN16486059,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,8D113EA71A9B2787F6896AE8562287CF,28C533183A6B9B3EF678B8157B751ABA
GSM4837822,GSM4837822,18-10A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486058,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317806,NONE,SRR12850838,2020-10-21 16:31:12,2020-10-20 15:51:38,36990438,2744308144,0,74,1174,https://sra-download.ncbi.nlm.nih.gov/traces/sra80/SRR/012549/SRR12850838,SRX9317806,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542635,SAMN16486058,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,A3CEDFD58C13BE4ABDA500B9BA7ECF48,F5C8C6729EB14E001C86B8C3B0B8ADD4
GSM4837823,GSM4837823,19-11A-Old [RNA-seq],Public on Oct 21 2020,Oct 20 2020,Oct 21 2020,SRA,1,CNDR brain bank (Penn),Homo sapiens,tissue: Lateral temporal lobe from Frozen postmortem brain tissue,age: old,total RNA,Total RNA was isolated from 20 mg frozen brain tissue using the RNAeasy Mini kit (Qiagen) coupled to an RNase-free DNase step (Qiagen).,Ribosomal RNA was removed using the rRNA Depletion kit (NEB) and the resulting RNA was used to construct sequencing libraries using the NEBNext Ultra Directional RNA library Prep Kit for Illumina (NEB). Libraries were multiplexed using NEBNext Multiplex Oligos for Illumina (dual index primers) and single-ended sequenced (75 bp) on the NextSeq 500 platform (Illumina) in accordance with the manufacturer’s protocol.,9606,summary_count.star.txt,RNA-seq tags reads were aligned to the human reference genome (assembly GRCh37.75/hg19) using STAR with default parameters. Alignments with a mapping score <10 were discarded using SAMtools and alignments mapped to mitochondria and chrUn (contigs that cannot be confidently placed on a specific chromosome) were removed using BEDtools.,"FeatureCounts was used to generate a matrix of mapped fragments per RefSeq annotated gene, from which genes annotated by RefSeq as rRNA were discarded. Analysis for differential gene expression was performed using the DESeq2 R package with FDR <0.05.",Genome_build: hg19,Supplementary_files_format_and_content: read count per gene,GPL18573,"Yemin,,Lan",University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16486057,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9317807,NONE,SRR12850839,2020-10-21 16:31:12,2020-10-20 16:01:50,43899259,3253247544,0,74,1393,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/012549/SRR12850839,SRX9317807,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP287843,PRJNA670209,3,670209,SRS7542636,SAMN16486057,simple,9606,Homo sapiens,no,GEO,SRA1145635,public,8A741D3C65CFFD1D6C9D5BDB633F870E,9379078639D293C519D788692D6D747E
