"",geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip.postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,tissue.ch1,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash
GSM5600937,GSM5600937,X159-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: Health,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883921,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387419,NONE,Health,SRR16101430,2021-10-06 11:12:06,2021-09-28 20:19:31,42710500,12813150000,42710500,300,4879,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101430/SRR16101430,SRX12387419,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357422,SAMN21883921,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,E95BEFBAC2438F36525E42BB1B9B9E3C,B8D77A8B3B0089BA1EB908AEB5958EBF
GSM5600938,GSM5600938,X164-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: Health,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883923,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387420,NONE,Health,SRR16101431,2021-10-06 11:12:06,2021-09-28 19:44:38,35397579,10619273700,35397579,300,4553,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101431/SRR16101431,SRX12387420,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357421,SAMN21883923,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,8146858CA037372D58A73440098E41B0,38B9C936FD2E5914FC717EE52C04769B
GSM5600939,GSM5600939,X166-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: Health,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883924,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387421,NONE,Health,SRR16101432,2021-10-06 11:12:06,2021-09-28 19:27:54,31406569,9421970700,31406569,300,3984,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR16101432/SRR16101432,SRX12387421,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357425,SAMN21883924,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,DC709CF05E73FCFD10BE46724E1FCD64,F7BC7E68ABAC6888C73600000D5AE9E1
GSM5600940,GSM5600940,X157-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: Health,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883926,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387422,NONE,Health,SRR16101433,2021-10-06 11:12:06,2021-09-28 20:14:27,40601520,12180456000,40601520,300,4656,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101433/SRR16101433,SRX12387422,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357423,SAMN21883926,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,AB2103606064F4A774E1F253432FD3E5,3CD0A8B3ABFEB859C5F5488F08DD5944
GSM5600941,GSM5600941,X158-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: Health,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883927,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387423,NONE,Health,SRR16101434,2021-10-06 11:12:06,2021-09-28 20:01:07,38639162,11591748600,38639162,300,4496,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101434/SRR16101434,SRX12387423,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357426,SAMN21883927,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,97A37A33E15A62BD3C93D7F5A655EC87,B3D7410D556D6FA7D93526A099AD4AAF
GSM5600942,GSM5600942,X119-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: AD,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883928,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387424,NONE,AD,SRR16101435,2021-10-06 11:12:06,2021-09-28 20:28:43,43171479,12951443700,43171479,300,4905,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101435/SRR16101435,SRX12387424,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357424,SAMN21883928,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,AD37596244EA6B08D6D8320EEDFA6693,F0D86285614FC1072BA92D2E4CE3ED5F
GSM5600943,GSM5600943,X142-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: AD,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883929,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387425,NONE,AD,SRR16101436,2021-10-06 11:12:06,2021-09-28 19:40:55,32784766,9835429800,32784766,300,4199,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101436/SRR16101436,SRX12387425,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357427,SAMN21883929,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,BCF937B014D8E012E22B12D6AF1F93AD,9E1B6EFCDAF712602C0DE6720DB572C7
GSM5600944,GSM5600944,X150-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: AD,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883930,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387426,NONE,AD,SRR16101437,2021-10-06 11:12:06,2021-09-28 20:16:35,41354622,12406386600,41354622,300,5278,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101437/SRR16101437,SRX12387426,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357428,SAMN21883930,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,7557E534C3DFDC1E24909487DCCF4F69,46CA533096864582583B9CAE233FF7DD
GSM5600945,GSM5600945,X161-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: AD,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883931,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387427,NONE,AD,SRR16101438,2021-10-06 11:12:06,2021-09-28 19:47:42,34389099,10316729700,34389099,300,4429,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101438/SRR16101438,SRX12387427,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357430,SAMN21883931,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,061A2D57554C3919F6EA9564467901D1,81168592B51FD10AA5DAC3319A23A55B
GSM5600946,GSM5600946,X167-CA1,Public on Oct 05 2021,Sep 28 2021,Oct 05 2021,SRA,1,hippocampus,Homo sapiens,tissue: AD,total RNA,"Total RNA was extracted using RNeasy Mini Kit from frozen hippocampus (Cat#74106, QIAGEN)following  the manufacturer’s instructions and checked for a RIN number to inspect RNA integrity by an Agilent Bioanalyzer 2100 (Agilent technologies, Santa Clara, CA,US).",RNA libraries were prepared for sequencing using standard Illumina protocols,9606,Basecalls performed using bcl2fastq software,raw data fastqc,sequencing data filtering and statistics using fastp software,clean data fastqc,Genome_build: Homo_sapiens.GRCh38,GPL11154,"Wei,,Ge",wei.ge@chem.ox.ac.uk,National Key Laboratory of Medical Molecular Biology,Department of Immunology,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","5 Dong Dan San Tiao, Dongcheng District",Beijing,State...,10010,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21883932,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12387428,NONE,AD,SRR16101439,2021-10-06 11:12:06,2021-09-29 01:12:09,63859116,19157734800,63859116,300,7784,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16101439/SRR16101439,SRX12387428,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP339150,PRJNA767074,3,767074,SRS10357429,SAMN21883932,simple,9606,Homo sapiens,no,GEO,SRA1302009,public,E302BEF2BA8BE0F90FC6356863CA8FB3,E7F12C761F0352AB6D81EC4943D17DAC
