"",geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,characteristics_ch1.4,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,description,description.1,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,platform_id,contact_name,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip.postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash
GSM4432378,GSM4432378,Series1_NHBE_Mock_1,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-mock-3_S3,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444845,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990866,NONE,SRR11412218,3/26/2020 16:41,3/25/2020 1:59,4245291,555639544,0,130,214,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011144/SRR11412218,SRX7990866,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374419,SAMN14444845,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,DEF377A1149EF3CB5627ACCB8137B344,FB641B4BE3336742B17DC01D0525CEA3
GSM4432379,GSM4432379,Series1_NHBE_Mock_2,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-mock-2_S2,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444844,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990867,NONE,SRR11412219,3/26/2020 16:41,3/25/2020 1:59,4106965,524883325,0,127,212,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/011144/SRR11412219,SRX7990867,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374464,SAMN14444844,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,03A17EDD9DA7CC636386204140274D7C,B433B29428359DE4A5D5A46280A44BFC
GSM4432380,GSM4432380,Series1_NHBE_Mock_3,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-mock-1_S1,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444843,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990868,NONE,SRR11412223,3/26/2020 16:41,3/25/2020 2:00,6111163,734468035,0,120,296,https://sra-download.ncbi.nlm.nih.gov/traces/sra61/SRR/011144/SRR11412223,SRX7990868,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374420,SAMN14444843,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,50BAA58B88D4015E0FB9B86408EFE1E1,2FE2EC052264D5A11179785B2C4D2CEC
GSM4432381,GSM4432381,Series1_NHBE_SARS-CoV-2_1,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,SARS-CoV-2 infected NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: SARS-CoV-2 infected (MOI 2),time point: NA,strain: USA-WA1/2020,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-CoV2-3_S6,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444842,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990869,NONE,SRR11412227,3/26/2020 16:41,3/25/2020 1:59,3774499,509632928,0,135,206,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011144/SRR11412227,SRX7990869,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374421,SAMN14444842,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,63D0A2B714683F510322C1F541F089B5,1BFB46DE1389FCD78EC7A28558EB1431
GSM4432382,GSM4432382,Series1_NHBE_SARS-CoV-2_2,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,SARS-CoV-2 infected NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: SARS-CoV-2 infected (MOI 2),time point: NA,strain: USA-WA1/2020,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-CoV2-2_S5,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444841,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990870,NONE,SRR11412233,3/26/2020 16:41,3/25/2020 1:59,3814880,509322641,0,133,190,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/011144/SRR11412233,SRX7990870,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374422,SAMN14444841,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,ED2DEFB1371A1908B8996B8A4BD516FB,221D1B51BBACA0DC6A8F546F567FAD0F
GSM4432383,GSM4432383,Series1_NHBE_SARS-CoV-2_3,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,SARS-CoV-2 infected NHBE cells,Homo sapiens,cell line: NHBE,cell type: primary human bronchial epithelial cells,treatment: SARS-CoV-2 infected (MOI 2),time point: NA,strain: USA-WA1/2020,polyA RNA,TruSeq Stranded mRNA LP,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,SARS004-CoV2-1_S4,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444840,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990871,NONE,SRR11412235,3/26/2020 16:41,3/25/2020 2:02,11099958,1466486543,0,132,592,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/011144/SRR11412235,SRX7990871,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374423,SAMN14444840,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,96302EB2160C1B2CC5954479191CF7B8,D0929AAF8B6D7524C0BC53961320621C
GSM4432384,GSM4432384,Series2_A549_Mock_1,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated A549 cells,Homo sapiens,cell line: A549,cell type: Lung adenocarcinoma,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq RNA Library Prep Kit v2,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,CoV002-mock3-indexG3_S3,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444839,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990872,NONE,SRR11412239,3/26/2020 16:41,3/25/2020 2:00,6647150,965357051,0,145,386,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011144/SRR11412239,SRX7990872,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374424,SAMN14444839,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,36D443CEB5A38335A1F781D7CD5DB724,D2764365DB2E490BDAB709909BC547E1
GSM4432385,GSM4432385,Series2_A549_Mock_2,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated A549 cells,Homo sapiens,cell line: A549,cell type: Lung adenocarcinoma,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq RNA Library Prep Kit v2,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,CoV002-mock2-indexG2_S2,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444838,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990873,NONE,SRR11412246,3/26/2020 16:41,3/25/2020 1:59,3722519,541563810,0,145,200,https://sra-download.ncbi.nlm.nih.gov/traces/sra61/SRR/011144/SRR11412246,SRX7990873,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374425,SAMN14444838,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,56FD04F1C34A44F39E9A5EB94F07FADC,8EFF242CE6F2A04F9F2099658FBA9C9C
GSM4432386,GSM4432386,Series2_A549_Mock_3,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,Mock treated A549 cells,Homo sapiens,cell line: A549,cell type: Lung adenocarcinoma,treatment: Mock treatment,time point: 24hrs after treatment,strain: NA,polyA RNA,TruSeq RNA Library Prep Kit v2,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,CoV002-mock1-indexG1_S1,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444837,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990874,NONE,SRR11412247,3/26/2020 16:41,3/25/2020 1:59,2880493,420723596,0,146,168,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011144/SRR11412247,SRX7990874,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374426,SAMN14444837,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,01547AB731DE4E45927C7237A0C6AB43,9FFF7C70D1D4C6131CC2A7EEC78F8B2C
GSM4432387,GSM4432387,Series2_A549_SARS-CoV-2_1,Public on Mar 25 2020,Mar 24 2020,Apr 08 2020,SRA,1,SARS-CoV-2 infected A549 cells,Homo sapiens,cell line: A549,cell type: Lung adenocarcinoma,treatment: SARS-CoV-2 infected (MOI 0.2),time point: NA,strain: USA-WA1/2020,polyA RNA,TruSeq RNA Library Prep Kit v2,Total RNA was extracted using RNeasy Mini Kit (Qiagen),9606,CoV002-CoV2-3-indexG6_S6,processed data file: RawReadCounts_Human.tsv,cDNA libraries were sequenced using an Illumina NextSeq 500 platform,"Raw sequencing reads were aligned to the human genome (hg19) using the RNA-Seq Alignment App (v2.0.1) on Basespace (Illumina, CA)","Differential gene expression analysis was performed using DESeq2 (implemented in the RNA Express App (v1.1.0) on Basespace (Illumina, CA)) comparing Infected samples to their correspondent mock treated sample, for each virus/cell type.","Genome_build: human (hg19), Ferret (MusPutFur1.0)",Supplementary_files_format_and_content: Tab separated value (tsv) matrix of raw read counts per gene for each sample.,GPL18573,"Daniel,,Blanco Melo",tenOever Lab,Microbiology,Icahn School of Medicine at Mount Sina,"One Gustave L. Levy Place, Box 1124",New York,NY,10029,USA,0,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14444836,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7990875,NONE,SRR11412251,3/26/2020 16:41,3/25/2020 2:00,8420359,1228031665,0,145,489,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011144/SRR11412251,SRX7990875,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP253951,PRJNA615032,615032,SRS6374430,SAMN14444836,simple,9606,Homo sapiens,no,GEO,SRA1059108,public,B3DE934760BD2BB022AC55A5A1B4587C,59D63E3C91DB6140934EF62BC4901BCC
