"",geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,description,description.1,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip.postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,cell.type.ch1,treatment.ch1,viral.infected.ch1,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash
GSM5325436,GSM5325436,Sample 1_dpamine neuron-48h-mock-1,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: no,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284667,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947816,NONE,Dopaminergic Neuron,no,no,SRR14602068,2021-10-21 12:26:30,2021-05-22 08:08:33,50479743,5148933786,50479743,102,1554,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14602068/SRR14602068,SRX10947816,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026722,SAMN19284667,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,C5CF02D428BB97D10048D62FD3994544,16A808020B9056D259B690F44C979BC9
GSM5325437,GSM5325437,Sample 2_dpamine neuron-48h-mock-2,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: no,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284666,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947817,NONE,Dopaminergic Neuron,no,no,SRR14602069,2021-10-21 12:26:30,2021-05-22 11:18:52,41694509,4252839918,41694509,102,1281,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14602069/SRR14602069,SRX10947817,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026723,SAMN19284666,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,67F9F8E303FCEDEFC7318ABDBA221194,D098AFBD40F2329A215CA95ECE978E47
GSM5325438,GSM5325438,Sample 3_dpamine neuron-48h-mock-3,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: no,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284665,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947818,NONE,Dopaminergic Neuron,no,no,SRR14602070,2021-10-21 12:26:30,2021-05-22 10:28:52,42739875,4359467250,42739875,102,1333,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14602070/SRR14602070,SRX10947818,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026724,SAMN19284665,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,272B3F6EE27E37C1580DF90A1726CDED,61D3EF172DD98F466B1DAEF1509F5389
GSM5325439,GSM5325439,Sample 4_dpamine neuron-48h-H-1,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284664,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947819,NONE,Dopaminergic Neuron,no,SARS-Cov-2 infected 48 hours,SRR14602071,2021-10-21 12:26:30,2021-05-22 09:20:34,53347263,5441420826,53347263,102,1636,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602071/SRR14602071,SRX10947819,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026725,SAMN19284664,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,4F1A0DA0F53AFAE3F9A9D39DA11AC985,A106A29832E5E0AE3BF0D94C75F2AC34
GSM5325440,GSM5325440,Sample 5_dpamine neuron-48h-H-2,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284663,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947820,NONE,Dopaminergic Neuron,no,SARS-Cov-2 infected 48 hours,SRR14602072,2021-10-21 12:26:30,2021-05-22 06:07:15,42003972,4284405144,42003972,102,1280,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602072/SRR14602072,SRX10947820,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026729,SAMN19284663,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,369C7646F855C96EB7D0802AB4E0C633,2E149B99517016465150391CC6309680
GSM5325441,GSM5325441,Sample 6_dpamine neuron-48h-H-3,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: no,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dpamine_neuron-48h.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284662,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947821,NONE,Dopaminergic Neuron,no,SARS-Cov-2 infected 48 hours,SRR14602073,2021-10-21 12:26:30,2021-05-22 11:38:36,44408265,4529643030,44408265,102,1359,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602073/SRR14602073,SRX10947821,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026726,SAMN19284662,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,ADD231367A16A319DC53F5E6B9C4ABB4,1796CB64D0FC41D1283BB8A555F5ACA5
GSM5325442,GSM5325442,Sample 7_dopamine-DMSO1,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: DMSO,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dopamine.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284661,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947822,NONE,Dopaminergic Neuron,DMSO,SARS-Cov-2 infected 48 hours,SRR14602074,2021-10-21 12:26:30,2021-05-22 04:32:32,20124265,2033233974,20124265,101,635,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602074/SRR14602074,SRX10947822,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026728,SAMN19284661,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,DE646747092933E099F9AE6C37B0522D,EC3CEA0216601554E36E8140F95C3A83
GSM5325443,GSM5325443,Sample 8_dopamine-DMSO2,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: DMSO,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dopamine.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284660,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947823,NONE,Dopaminergic Neuron,DMSO,SARS-Cov-2 infected 48 hours,SRR14602075,2021-10-21 12:26:30,2021-05-22 12:13:37,86379914,8727390849,86379914,101,2693,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602075/SRR14602075,SRX10947823,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026727,SAMN19284660,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,F42523E6E1E6A7AC4F30B3816A6FC926,17A63C6210066F1A818B0EECD427ACD7
GSM5325444,GSM5325444,Sample 9_dopamine-DMSO3,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: DMSO,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dopamine.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284692,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947824,NONE,Dopaminergic Neuron,DMSO,SARS-Cov-2 infected 48 hours,SRR14602076,2021-10-21 12:26:30,2021-05-22 14:09:07,91772514,9271345904,91772514,101,2862,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602076/SRR14602076,SRX10947824,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026730,SAMN19284692,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,47A5CF7C2FF7D0CA2A87BEB04E5FDA7B,0386D2B2C608D073D55BA7C0DACE9479
GSM5325445,GSM5325445,Sample 10_dopamine-Riluzole1,Public on Oct 20 2021,May 20 2021,Oct 20 2021,SRA,1,Neural cells,Homo sapiens,cell type: Dopaminergic Neuron,viral infected: SARS-Cov-2 infected 48 hours,treatment: Riluzole,"For drug treatment, DA neurons were infected with SARS-CoV-2 at six hours post-treatment.","Midbrain dopaminergic neuron differentiation were performed using H9 hESCs, which include Nurr1: GFP hESC.  hESCs were grown on VTN-N (Thermo Fisher Scientific)-coated 6-well plates in E8-essential medium. Cells were maintained at 37℃, 5% CO2. hESCs were differentiated with an optimized protocol from a previously reported study",total RNA,Total RNA samples were prepared from cells and using TRIzol according to the manufacturer’s instructions.,RNAseq libraries of polyadenylated RNA were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina) according to the manufacturer’s instructions and sequenced on an Illumina NextSeq 500 platform.,9606,processed data file: raw_counts.dopamine.txt,"",Illumina bcl2fastq2 v2.20 was used for basecalling.,"For sample 1-6 and 28-33, Sequenced reads were trimmed for low-quality bases and for adapter sequences using cutadapt; then mapped to the human hg19 reference genome plus SARS-CoV-2 genome using STAR v2.5.2b. Raw read counts were quantified using HTSeq-count v0.11.2.","For sample 7-27, the raw reads were aligned to human genome (GRCh38) using HISAT2 (version=2.1.0). The raw counts were extracted from bam files by featureCounts function (from package subread version=1.6.4).",Genome_build: GRCh38,Supplementary_files_format_and_content: plain txt file storing read counts per gene per sample,GPL24676,"Shuibing,,Chen",shuibing.chen@gmail.com,2127465431,Surgery,Weill Cornell Medical College,"A 827B, 1300 York Ave",New York,NY,10065,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19284691,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10947825,NONE,Dopaminergic Neuron,Riluzole,SARS-Cov-2 infected 48 hours,SRR14602077,2021-10-21 12:26:30,2021-05-22 12:21:34,81656432,8250145227,81656432,101,2551,https://storage.googleapis.com/nih-sequence-read-archive/run/SRR14602077/SRR14602077,SRX10947825,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320664,PRJNA731457,731457,SRS9026731,SAMN19284691,simple,9606,Homo sapiens,no,GEO,SRA1234813,public,4B80EC15848A320C9EE5D5D7E4484F9D,33E8915720371E68FE050280AB65A037
