Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR14076246_GSM5212316_transcripts_quant	35.5%	22.5			
SRR14076246_pass_1			50.3%	49%	63.4
SRR14076246_pass_2			48.8%	48%	63.4
SRR14076247_GSM5212317_transcripts_quant	33.6%	19.0			
SRR14076247_pass_1			46.1%	49%	56.5
SRR14076247_pass_2			45.7%	48%	56.5
SRR14076248_GSM5212318_transcripts_quant	37.4%	20.8			
SRR14076248_pass_1			48.8%	49%	55.7
SRR14076248_pass_2			48.7%	48%	55.7
SRR14076249_GSM5212319_transcripts_quant	38.0%	21.5			
SRR14076249_pass_1			51.8%	50%	56.7
SRR14076249_pass_2			51.5%	49%	56.7
SRR14076250_GSM5212320_transcripts_quant	39.5%	23.2			
SRR14076250_pass_1			46.8%	48%	58.8
SRR14076250_pass_2			49.1%	47%	58.8
SRR14076251_GSM5212321_transcripts_quant	42.1%	25.3			
SRR14076251_pass_1			49.0%	48%	60.0
SRR14076251_pass_2			49.9%	47%	60.0
SRR14076252_GSM5212322_transcripts_quant	37.5%	20.9			
SRR14076252_pass_1			41.6%	48%	55.7
SRR14076252_pass_2			43.6%	47%	55.7
SRR14076253_GSM5212323_transcripts_quant	36.6%	22.8			
SRR14076253_pass_1			49.1%	50%	62.4
SRR14076253_pass_2			48.1%	49%	62.4
SRR14076254_GSM5212324_transcripts_quant	35.5%	23.7			
SRR14076254_pass_1			42.4%	48%	66.7
SRR14076254_pass_2			44.5%	47%	66.7
SRR14076255_GSM5212325_transcripts_quant	36.6%	24.5			
SRR14076255_pass_1			60.6%	50%	67.1
SRR14076255_pass_2			58.5%	49%	67.1
SRR14076256_GSM5212326_transcripts_quant	36.0%	25.5			
SRR14076256_pass_1			42.9%	47%	70.7
SRR14076256_pass_2			43.8%	46%	70.7
SRR14076257_GSM5212327_transcripts_quant	35.3%	24.3			
SRR14076257_pass_1			45.5%	49%	68.9
SRR14076257_pass_2			46.4%	48%	68.9
SRR14076258_GSM5212328_transcripts_quant	39.0%	21.5			
SRR14076258_pass_1			50.1%	49%	55.0
SRR14076258_pass_2			49.0%	48%	55.0
SRR14076259_GSM5212329_transcripts_quant	40.8%	21.2			
SRR14076259_pass_1			51.7%	51%	52.1
SRR14076259_pass_2			51.7%	50%	52.1
SRR14076260_GSM5212330_transcripts_quant	38.3%	24.8			
SRR14076260_pass_1			44.9%	48%	64.9
SRR14076260_pass_2			45.8%	47%	64.9
SRR14076261_GSM5212331_transcripts_quant	39.2%	17.5			
SRR14076261_pass_1			44.1%	50%	44.7
SRR14076261_pass_2			44.1%	49%	44.7
SRR14076262_GSM5212332_transcripts_quant	35.0%	21.5			
SRR14076262_pass_1			40.7%	48%	61.5
SRR14076262_pass_2			42.2%	47%	61.5
SRR14076263_GSM5212333_transcripts_quant	35.9%	20.7			
SRR14076263_pass_1			42.6%	48%	57.6
SRR14076263_pass_2			43.1%	48%	57.6
SRR14076264_GSM5212334_transcripts_quant	36.3%	22.4			
SRR14076264_pass_1			39.2%	47%	61.7
SRR14076264_pass_2			41.4%	46%	61.7
SRR14076265_GSM5212335_transcripts_quant	38.7%	24.9			
SRR14076265_pass_1			51.1%	49%	64.4
SRR14076265_pass_2			49.9%	49%	64.4
SRR14076266_GSM5212336_transcripts_quant	36.2%	20.0			
SRR14076266_pass_1			43.7%	48%	55.3
SRR14076266_pass_2			44.4%	47%	55.3
SRR14076267_GSM5212337_transcripts_quant	40.7%	20.7			
SRR14076267_pass_1			51.5%	51%	50.9
SRR14076267_pass_2			51.2%	50%	50.9
SRR14076268_GSM5212338_transcripts_quant	37.8%	21.8			
SRR14076268_pass_1			44.9%	48%	57.8
SRR14076268_pass_2			44.6%	47%	57.8
SRR14076269_GSM5212339_transcripts_quant	40.2%	30.1			
SRR14076269_pass_1			62.8%	51%	74.8
SRR14076269_pass_2			62.3%	50%	74.8
SRR14076270_GSM5212340_transcripts_quant	35.0%	20.5			
SRR14076270_pass_1			43.3%	48%	58.5
SRR14076270_pass_2			44.0%	47%	58.5
SRR14076271_GSM5212341_transcripts_quant	36.9%	22.3			
SRR14076271_pass_1			43.2%	48%	60.3
SRR14076271_pass_2			44.8%	47%	60.3
SRR14076272_GSM5212342_transcripts_quant	37.9%	21.9			
SRR14076272_pass_1			45.5%	49%	57.9
SRR14076272_pass_2			46.3%	47%	57.9
SRR14076273_GSM5212343_transcripts_quant	38.2%	24.6			
SRR14076273_pass_1			62.7%	50%	64.5
SRR14076273_pass_2			61.9%	49%	64.5
SRR14076274_GSM5212344_transcripts_quant	37.8%	21.6			
SRR14076274_pass_1			41.5%	48%	57.1
SRR14076274_pass_2			42.7%	47%	57.1
SRR14076275_GSM5212345_transcripts_quant	37.2%	22.7			
SRR14076275_pass_1			42.8%	48%	61.0
SRR14076275_pass_2			44.1%	47%	61.0
SRR14076276_GSM5212346_transcripts_quant	35.4%	19.3			
SRR14076276_pass_1			44.9%	48%	54.5
SRR14076276_pass_2			44.3%	47%	54.5
SRR14076277_GSM5212347_transcripts_quant	36.4%	22.6			
SRR14076277_pass_1			41.9%	48%	62.1
SRR14076277_pass_2			43.5%	47%	62.1
SRR14076278_GSM5212348_transcripts_quant	37.4%	24.1			
SRR14076278_pass_1			42.6%	48%	64.6
SRR14076278_pass_2			44.0%	47%	64.6
SRR14076279_GSM5212349_transcripts_quant	36.9%	21.6			
SRR14076279_pass_1			45.9%	49%	58.6
SRR14076279_pass_2			45.8%	48%	58.6
SRR14076280_GSM5212350_transcripts_quant	37.8%	19.4			
SRR14076280_pass_1			46.3%	49%	51.4
SRR14076280_pass_2			46.8%	48%	51.4
SRR14076281_GSM5212351_transcripts_quant	35.7%	18.4			
SRR14076281_pass_1			42.2%	48%	51.5
SRR14076281_pass_2			42.4%	48%	51.5
SRR14076282_GSM5212352_transcripts_quant	34.8%	20.4			
SRR14076282_pass_1			43.9%	48%	58.8
SRR14076282_pass_2			44.1%	47%	58.8
SRR14076283_GSM5212353_transcripts_quant	36.7%	19.5			
SRR14076283_pass_1			45.6%	51%	53.2
SRR14076283_pass_2			45.5%	50%	53.2
SRR14076284_GSM5212354_transcripts_quant	40.9%	25.1			
SRR14076284_pass_1			56.4%	49%	61.4
SRR14076284_pass_2			54.9%	48%	61.4
SRR14076285_GSM5212355_transcripts_quant	35.9%	20.5			
SRR14076285_pass_1			43.0%	48%	57.2
SRR14076285_pass_2			48.0%	47%	57.2
SRR14076286_GSM5212356_transcripts_quant	35.2%	22.0			
SRR14076286_pass_1			40.8%	48%	62.6
SRR14076286_pass_2			44.6%	47%	62.6
SRR14076287_GSM5212357_transcripts_quant	40.5%	21.7			
SRR14076287_pass_1			43.8%	48%	53.5
SRR14076287_pass_2			44.6%	46%	53.5
SRR14076288_GSM5212358_transcripts_quant	37.5%	18.3			
SRR14076288_pass_1			45.7%	50%	48.7
SRR14076288_pass_2			45.7%	49%	48.7
