Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR13367150_GSM5006430_transcripts_quant	26.8%	11.5			
SRR13367150_pass_1			17.5%	41%	43.1
SRR13367150_pass_2			21.4%	41%	43.1
SRR13367151_GSM5006431_transcripts_quant	31.0%	2.4			
SRR13367151_pass_1			31.2%	42%	7.9
SRR13367151_pass_2			32.4%	41%	7.9
SRR13367152_GSM5006432_transcripts_quant	13.1%	5.7			
SRR13367152_pass_1			84.1%	44%	43.4
SRR13367152_pass_2			83.5%	45%	43.4
SRR13367153_GSM5006433_transcripts_quant	17.6%	2.6			
SRR13367153_pass_1			48.3%	44%	14.6
SRR13367153_pass_2			49.7%	45%	14.6
SRR13367154_GSM5006434_transcripts_quant	36.7%	3.2			
SRR13367154_pass_1			77.0%	43%	8.8
SRR13367154_pass_2			75.9%	43%	8.8
SRR13367155_GSM5006435_transcripts_quant	29.7%	22.2			
SRR13367155_pass_1			85.0%	42%	74.8
SRR13367155_pass_2			83.5%	42%	74.8
SRR13367156_GSM5006436_transcripts_quant	29.1%	15.8			
SRR13367156_pass_1			81.1%	45%	54.3
SRR13367156_pass_2			80.3%	45%	54.3
SRR13367157_GSM5006437_transcripts_quant	30.9%	1.1			
SRR13367157_pass_1			57.8%	45%	3.6
SRR13367157_pass_2			57.7%	45%	3.6
SRR13367158_GSM5006438_transcripts_quant	22.0%	9.0			
SRR13367158_pass_1			51.8%	48%	41.0
SRR13367158_pass_2			62.8%	48%	41.0
SRR13367159_GSM5006439_transcripts_quant	33.4%	12.2			
SRR13367159_pass_1			9.3%	42%	36.5
SRR13367159_pass_2			15.1%	42%	36.5
SRR13367160_GSM5006440_transcripts_quant	46.1%	1.1			
SRR13367160_pass_1			38.1%	45%	2.3
SRR13367160_pass_2			39.1%	45%	2.3
SRR13367161_GSM5006441_transcripts_quant	8.0%	3.2			
SRR13367161_pass_1			60.3%	45%	40.4
SRR13367161_pass_2			58.4%	46%	40.4
SRR13367162_GSM5006442_transcripts_quant	36.5%	4.2			
SRR13367162_pass_1			75.8%	46%	11.6
SRR13367162_pass_2			76.2%	46%	11.6
SRR13367163_GSM5006443_transcripts_quant	37.4%	14.8			
SRR13367163_pass_1			74.8%	48%	39.6
SRR13367163_pass_2			75.5%	48%	39.6
SRR13367164_GSM5006444_transcripts_quant	31.2%	14.9			
SRR13367164_pass_1			62.9%	45%	47.7
SRR13367164_pass_2			63.9%	46%	47.7
SRR13367165_GSM5006445_transcripts_quant	28.0%	10.8			
SRR13367165_pass_1			79.5%	48%	38.6
SRR13367165_pass_2			77.8%	48%	38.6
