Sample Name	% Aligned	M Aligned	% Dups	% GC	Length	M Seqs
SRR11412215_GSM4432378_transcripts_quant	92.4%	3.9				
SRR11412215_pass			60.1%	49%	131 bp	4.3
SRR11412216_GSM4432378_transcripts_quant	92.4%	3.9				
SRR11412216_pass			60.1%	49%	131 bp	4.2
SRR11412217_GSM4432378_transcripts_quant	92.7%	4.0				
SRR11412217_pass			61.2%	49%	131 bp	4.3
SRR11412218_GSM4432378_transcripts_quant	92.8%	3.9				
SRR11412218_pass			61.0%	49%	131 bp	4.2
SRR11412219_GSM4432379_transcripts_quant	91.2%	3.7				
SRR11412219_pass			58.8%	49%	128 bp	4.1
SRR11412220_GSM4432379_transcripts_quant	91.7%	3.7				
SRR11412220_pass			58.9%	49%	128 bp	4.0
SRR11412221_GSM4432379_transcripts_quant	90.9%	3.8				
SRR11412221_pass			59.1%	49%	128 bp	4.1
SRR11412222_GSM4432379_transcripts_quant	91.9%	3.7				
SRR11412222_pass			59.7%	49%	128 bp	4.0
SRR11412223_GSM4432380_transcripts_quant	92.1%	5.6				
SRR11412223_pass			64.0%	49%	120 bp	6.1
SRR11412224_GSM4432380_transcripts_quant	92.1%	5.5				
SRR11412224_pass			63.7%	49%	120 bp	6.0
SRR11412225_GSM4432380_transcripts_quant	92.3%	5.6				
SRR11412225_pass			64.4%	49%	120 bp	6.1
SRR11412226_GSM4432380_transcripts_quant	92.3%	5.6				
SRR11412226_pass			64.2%	49%	120 bp	6.0
SRR11412227_GSM4432381_transcripts_quant	92.4%	3.5				
SRR11412227_pass			58.3%	50%	135 bp	3.8
SRR11412228_GSM4432381_transcripts_quant	92.4%	3.4				
SRR11412228_pass			57.8%	50%	135 bp	3.7
SRR11412229_GSM4432381_transcripts_quant	92.6%	3.5				
SRR11412229_pass			58.8%	50%	135 bp	3.8
SRR11412230_GSM4432381_transcripts_quant	92.6%	3.5				
SRR11412230_pass			58.7%	50%	135 bp	3.7
SRR11412231_GSM4432382_transcripts_quant	92.3%	3.5				
SRR11412231_pass			60.0%	49%	134 bp	3.8
SRR11412232_GSM4432382_transcripts_quant	92.3%	3.5				
SRR11412232_pass			60.1%	49%	134 bp	3.7
SRR11412233_GSM4432382_transcripts_quant	92.6%	3.5				
SRR11412233_pass			60.8%	49%	134 bp	3.8
SRR11412234_GSM4432382_transcripts_quant	92.6%	3.5				
SRR11412234_pass			60.6%	49%	133 bp	3.7
SRR11412235_GSM4432383_transcripts_quant	92.3%	10.2				
SRR11412235_pass			71.2%	49%	132 bp	11.1
SRR11412236_GSM4432383_transcripts_quant	92.3%	10.1				
SRR11412236_pass			70.6%	49%	132 bp	10.9
SRR11412237_GSM4432383_transcripts_quant	92.4%	10.3				
SRR11412237_pass			71.3%	49%	132 bp	11.2
SRR11412238_GSM4432383_transcripts_quant	92.5%	10.2				
SRR11412238_pass			71.1%	49%	132 bp	11.0
SRR11412239_GSM4432384_transcripts_quant	85.7%	5.7				
SRR11412239_pass			40.2%	53%	145 bp	6.6
SRR11412240_GSM4432384_transcripts_quant	85.8%	5.7				
SRR11412240_pass			39.8%	53%	145 bp	6.6
SRR11412241_GSM4432384_transcripts_quant	86.2%	6.0				
SRR11412241_pass			40.9%	53%	145 bp	6.9
SRR11412242_GSM4432384_transcripts_quant	86.1%	5.9				
SRR11412242_pass			40.8%	53%	145 bp	6.8
SRR11412243_GSM4432385_transcripts_quant	86.3%	3.1				
SRR11412243_pass			34.5%	54%	145 bp	3.6
SRR11412244_GSM4432385_transcripts_quant	86.4%	3.1				
SRR11412244_pass			34.4%	54%	145 bp	3.6
SRR11412245_GSM4432385_transcripts_quant	86.8%	3.3				
SRR11412245_pass			35.3%	54%	146 bp	3.8
SRR11412246_GSM4432385_transcripts_quant	86.8%	3.2				
SRR11412246_pass			35.1%	54%	146 bp	3.7
SRR11412247_GSM4432386_transcripts_quant	81.6%	2.4				
SRR11412247_pass			35.9%	55%	146 bp	2.9
SRR11412248_GSM4432386_transcripts_quant	81.7%	2.3				
SRR11412248_pass			35.8%	55%	146 bp	2.9
SRR11412249_GSM4432386_transcripts_quant	82.2%	2.5				
SRR11412249_pass			36.8%	55%	146 bp	3.0
SRR11412250_GSM4432386_transcripts_quant	82.0%	2.4				
SRR11412250_pass			36.7%	55%	146 bp	2.9
SRR11412251_GSM4432387_transcripts_quant	88.1%	7.4				
SRR11412251_pass			43.6%	51%	146 bp	8.4
SRR11412252_GSM4432387_transcripts_quant	88.2%	7.4				
SRR11412252_pass			43.5%	51%	146 bp	8.4
SRR11412253_GSM4432387_transcripts_quant	88.5%	7.7				
SRR11412253_pass			44.5%	51%	146 bp	8.8
SRR11412254_GSM4432387_transcripts_quant	88.5%	7.6				
SRR11412254_pass			44.3%	51%	146 bp	8.6
SRR11412255_GSM4432388_transcripts_quant	82.2%	6.0				
SRR11412255_pass			46.2%	54%	144 bp	7.3
SRR11412256_GSM4432388_transcripts_quant	82.3%	6.0				
SRR11412256_pass			45.9%	54%	144 bp	7.3
SRR11412257_GSM4432388_transcripts_quant	82.6%	6.3				
SRR11412257_pass			46.9%	54%	144 bp	7.6
SRR11412258_GSM4432388_transcripts_quant	82.6%	6.2				
SRR11412258_pass			46.5%	54%	144 bp	7.5
SRR11412259_GSM4432389_transcripts_quant	86.3%	4.4				
SRR11412259_pass			38.3%	53%	146 bp	5.1
SRR11412260_GSM4432389_transcripts_quant	86.4%	4.3				
SRR11412260_pass			38.2%	53%	146 bp	5.0
SRR11412261_GSM4432389_transcripts_quant	86.8%	4.6				
SRR11412261_pass			39.1%	53%	146 bp	5.3
SRR11412262_GSM4432389_transcripts_quant	86.8%	4.5				
SRR11412262_pass			39.1%	53%	146 bp	5.2
SRR11412263_GSM4432390_transcripts_quant	83.6%	6.6				
SRR11412263_pass			54.8%	52%	144 bp	8.0
SRR11412264_GSM4432390_transcripts_quant	83.7%	6.6				
SRR11412264_pass			54.5%	52%	144 bp	7.9
SRR11412265_GSM4432390_transcripts_quant	84.0%	6.9				
SRR11412265_pass			55.5%	52%	144 bp	8.2
SRR11412266_GSM4432390_transcripts_quant	83.9%	6.8				
SRR11412266_pass			55.5%	52%	144 bp	8.0
SRR11412267_GSM4432391_transcripts_quant	81.7%	5.3				
SRR11412267_pass			49.9%	52%	147 bp	6.5
SRR11412268_GSM4432391_transcripts_quant	81.8%	5.2				
SRR11412268_pass			49.7%	52%	147 bp	6.4
SRR11412269_GSM4432391_transcripts_quant	82.3%	5.5				
SRR11412269_pass			50.7%	52%	147 bp	6.7
SRR11412270_GSM4432391_transcripts_quant	82.2%	5.4				
SRR11412270_pass			50.2%	52%	147 bp	6.6
SRR11412271_GSM4432392_transcripts_quant	82.9%	2.3				
SRR11412271_pass			46.7%	52%	144 bp	2.8
SRR11412272_GSM4432392_transcripts_quant	83.0%	2.3				
SRR11412272_pass			46.6%	52%	144 bp	2.8
SRR11412273_GSM4432392_transcripts_quant	83.3%	2.4				
SRR11412273_pass			47.7%	52%	144 bp	2.9
SRR11412274_GSM4432392_transcripts_quant	83.3%	2.3				
SRR11412274_pass			47.2%	52%	144 bp	2.8
SRR11412275_GSM4432393_transcripts_quant	84.4%	1.3				
SRR11412275_pass			39.2%	53%	143 bp	1.6
SRR11412276_GSM4432393_transcripts_quant	84.3%	1.3				
SRR11412276_pass			38.7%	53%	143 bp	1.6
SRR11412277_GSM4432393_transcripts_quant	84.8%	1.4				
SRR11412277_pass			40.7%	53%	143 bp	1.6
SRR11412278_GSM4432393_transcripts_quant	84.8%	1.4				
SRR11412278_pass			40.6%	53%	143 bp	1.6
SRR11412279_GSM4432394_transcripts_quant	83.2%	1.1				
SRR11412279_pass			30.9%	52%	146 bp	1.4
SRR11412280_GSM4432394_transcripts_quant	83.3%	1.1				
SRR11412280_pass			30.8%	52%	146 bp	1.4
SRR11412281_GSM4432394_transcripts_quant	83.1%	1.2				
SRR11412281_pass			31.4%	52%	146 bp	1.4
SRR11412282_GSM4432394_transcripts_quant	83.2%	1.2				
SRR11412282_pass			31.4%	52%	146 bp	1.4
SRR11412283_GSM4432395_transcripts_quant	82.5%	2.3				
SRR11412283_pass			38.6%	52%	139 bp	2.8
SRR11412284_GSM4432395_transcripts_quant	82.8%	2.3				
SRR11412284_pass			38.2%	51%	140 bp	2.7
SRR11412285_GSM4432395_transcripts_quant	82.7%	2.3				
SRR11412285_pass			39.0%	51%	139 bp	2.8
SRR11412286_GSM4432395_transcripts_quant	82.7%	2.3				
SRR11412286_pass			38.6%	51%	139 bp	2.8
SRR11412287_GSM4432396_transcripts_quant	71.3%	2.4				
SRR11412287_pass			52.4%	47%	139 bp	3.4
SRR11412288_GSM4432396_transcripts_quant	71.3%	2.4				
SRR11412288_pass			52.4%	47%	139 bp	3.3
SRR11412289_GSM4432396_transcripts_quant	71.2%	2.4				
SRR11412289_pass			52.5%	47%	138 bp	3.4
SRR11412290_GSM4432396_transcripts_quant	71.2%	2.4				
SRR11412290_pass			52.4%	47%	138 bp	3.3
SRR11412291_GSM4432397_transcripts_quant	55.2%	0.6				
SRR11412291_pass			52.6%	54%	130 bp	1.1
SRR11412292_GSM4432397_transcripts_quant	55.0%	0.6				
SRR11412292_pass			52.7%	54%	130 bp	1.1
SRR11412293_GSM4432397_transcripts_quant	55.1%	0.6				
SRR11412293_pass			53.1%	54%	129 bp	1.1
SRR11412294_GSM4432397_transcripts_quant	55.1%	0.6				
SRR11412294_pass			53.2%	54%	129 bp	1.1
SRR11517674_GSM4462336_transcripts_quant	90.1%	22.6				
SRR11517674_pass			61.3%	51%	133 bp	25.1
SRR11517675_GSM4462337_transcripts_quant	89.5%	21.3				
SRR11517675_pass			63.5%	50%	133 bp	23.8
SRR11517676_GSM4462338_transcripts_quant	89.4%	19.8				
SRR11517676_pass			63.4%	51%	138 bp	22.2
SRR11517677_GSM4462339_transcripts_quant	90.4%	20.1				
SRR11517677_pass			61.0%	49%	140 bp	22.3
SRR11517678_GSM4462340_transcripts_quant	89.5%	22.3				
SRR11517678_pass			61.4%	48%	138 bp	24.9
SRR11517679_GSM4462341_transcripts_quant	90.3%	39.8				
SRR11517679_pass			73.2%	48%	134 bp	44.1
SRR11517680_GSM4462342_transcripts_quant	75.7%	22.1				
SRR11517680_pass			69.9%	51%	143 bp	29.2
SRR11517681_GSM4462343_transcripts_quant	76.8%	2.0				
SRR11517681_pass			44.3%	51%	138 bp	2.7
SRR11517682_GSM4462344_transcripts_quant	75.6%	14.6				
SRR11517682_pass			68.9%	52%	135 bp	19.3
SRR11517725_GSM4462413_transcripts_quant	78.5%	11.2				
SRR11517725_pass			63.2%	52%	133 bp	14.3
SRR11517726_GSM4462413_transcripts_quant	78.5%	11.0				
SRR11517726_pass			62.8%	52%	133 bp	14.1
SRR11517727_GSM4462413_transcripts_quant	79.0%	11.7				
SRR11517727_pass			64.3%	52%	133 bp	14.8
SRR11517728_GSM4462413_transcripts_quant	79.0%	11.5				
SRR11517728_pass			64.0%	52%	133 bp	14.5
SRR11517729_GSM4462414_transcripts_quant	76.8%	7.7				
SRR11517729_pass			65.9%	49%	134 bp	10.1
SRR11517730_GSM4462414_transcripts_quant	76.9%	7.6				
SRR11517730_pass			65.4%	49%	134 bp	9.9
SRR11517731_GSM4462414_transcripts_quant	77.1%	8.0				
SRR11517731_pass			66.8%	49%	134 bp	10.3
SRR11517732_GSM4462414_transcripts_quant	77.1%	7.8				
SRR11517732_pass			66.4%	49%	134 bp	10.2
SRR11517733_GSM4462415_transcripts_quant	1.1%	0.0				
SRR11517733_pass			97.2%	73%	150 bp	2.7
