Sample Name	% Aligned	M Aligned	% Dups	% GC	Length	M Seqs
SRR14602068_GSM5325436_transcripts_quant	86.2%	43.5				
SRR14602068_pass_1			60.5%	46%	51 bp	50.5
SRR14602068_pass_2			55.1%	46%	51 bp	50.5
SRR14602069_GSM5325437_transcripts_quant	86.5%	36.1				
SRR14602069_pass_1			57.3%	45%	51 bp	41.7
SRR14602069_pass_2			53.5%	45%	51 bp	41.7
SRR14602070_GSM5325438_transcripts_quant	86.1%	36.8				
SRR14602070_pass_1			58.6%	46%	51 bp	42.7
SRR14602070_pass_2			52.7%	46%	51 bp	42.7
SRR14602071_GSM5325439_transcripts_quant	85.2%	45.4				
SRR14602071_pass_1			61.3%	47%	51 bp	53.3
SRR14602071_pass_2			56.0%	47%	51 bp	53.3
SRR14602072_GSM5325440_transcripts_quant	86.0%	36.1				
SRR14602072_pass_1			59.0%	50%	51 bp	42.0
SRR14602072_pass_2			54.1%	51%	51 bp	42.0
SRR14602073_GSM5325441_transcripts_quant	84.6%	37.6				
SRR14602073_pass_1			58.4%	46%	51 bp	44.4
SRR14602073_pass_2			53.8%	46%	51 bp	44.4
SRR14602074_GSM5325442_transcripts_quant	87.3%	17.6				
SRR14602074_pass_1			51.6%	47%	51 bp	20.1
SRR14602074_pass_2			48.6%	47%	51 bp	20.1
SRR14602075_GSM5325443_transcripts_quant	87.3%	75.4				
SRR14602075_pass_1			67.9%	47%	51 bp	86.4
SRR14602075_pass_2			66.5%	47%	51 bp	86.4
SRR14602076_GSM5325444_transcripts_quant	86.7%	79.6				
SRR14602076_pass_1			69.4%	46%	51 bp	91.8
SRR14602076_pass_2			66.5%	46%	50 bp	91.8
SRR14602077_GSM5325445_transcripts_quant	86.3%	70.5				
SRR14602077_pass_1			66.1%	47%	51 bp	81.7
SRR14602077_pass_2			64.0%	47%	51 bp	81.7
SRR14602078_GSM5325446_transcripts_quant	86.7%	88.4				
SRR14602078_pass_1			69.7%	47%	51 bp	101.9
SRR14602078_pass_2			67.3%	47%	51 bp	101.9
SRR14602079_GSM5325447_transcripts_quant	86.0%	64.9				
SRR14602079_pass_1			66.3%	46%	51 bp	75.5
SRR14602079_pass_2			63.5%	46%	50 bp	75.5
SRR14602080_GSM5325448_transcripts_quant	88.4%	26.5				
SRR14602080_pass_1			56.7%	47%	51 bp	29.9
SRR14602080_pass_2			53.9%	47%	51 bp	29.9
SRR14602081_GSM5325449_transcripts_quant	89.1%	25.1				
SRR14602081_pass_1			55.3%	47%	51 bp	28.2
SRR14602081_pass_2			52.4%	47%	51 bp	28.2
SRR14602082_GSM5325450_transcripts_quant	89.6%	27.2				
