Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR27321843_GSM7989076_transcripts_quant	85.6%	15.6			
SRR27321843_pass_1			58.9%	51%	18.2
SRR27321843_pass_2			58.7%	51%	18.2
SRR27321844_GSM7989075_transcripts_quant	90.5%	16.5			
SRR27321844_pass_1			61.1%	52%	18.3
SRR27321844_pass_2			56.0%	52%	18.3
SRR27321845_GSM7989074_transcripts_quant	89.1%	16.3			
SRR27321845_pass_1			63.2%	52%	18.3
SRR27321845_pass_2			60.6%	52%	18.3
SRR27321846_GSM7989073_transcripts_quant	89.2%	16.3			
SRR27321846_pass_1			60.3%	52%	18.3
SRR27321846_pass_2			56.7%	52%	18.3
SRR27321847_GSM7989072_transcripts_quant	89.6%	16.2			
SRR27321847_pass_1			62.9%	53%	18.1
SRR27321847_pass_2			57.8%	53%	18.1
SRR27321848_GSM7989071_transcripts_quant	90.1%	16.4			
SRR27321848_pass_1			58.2%	52%	18.2
SRR27321848_pass_2			54.8%	52%	18.2
SRR27321849_GSM7989070_transcripts_quant	88.8%	16.2			
SRR27321849_pass_1			59.7%	52%	18.3
SRR27321849_pass_2			57.1%	52%	18.3
SRR27321850_GSM7989069_transcripts_quant	88.9%	16.3			
SRR27321850_pass_1			61.6%	52%	18.3
SRR27321850_pass_2			58.5%	53%	18.3
SRR27321851_GSM7989068_transcripts_quant	90.4%	16.5			
SRR27321851_pass_1			60.3%	52%	18.3
SRR27321851_pass_2			56.5%	52%	18.3
SRR27321852_GSM7989067_transcripts_quant	87.1%	15.3			
SRR27321852_pass_1			58.2%	52%	17.5
SRR27321852_pass_2			57.4%	52%	17.5
SRR27321853_GSM7989066_transcripts_quant	89.7%	16.4			
SRR27321853_pass_1			61.6%	53%	18.3
SRR27321853_pass_2			57.5%	53%	18.3
SRR27321854_GSM7989065_transcripts_quant	90.3%	15.8			
SRR27321854_pass_1			60.2%	52%	17.6
SRR27321854_pass_2			60.8%	52%	17.6
SRR27321855_GSM7989064_transcripts_quant	91.4%	16.7			
SRR27321855_pass_1			63.8%	51%	18.3
SRR27321855_pass_2			61.5%	52%	18.3
SRR27321856_GSM7989063_transcripts_quant	88.2%	16.0			
SRR27321856_pass_1			60.5%	51%	18.2
SRR27321856_pass_2			57.7%	52%	18.2
SRR27321857_GSM7989062_transcripts_quant	85.5%	15.6			
SRR27321857_pass_1			62.2%	51%	18.3
SRR27321857_pass_2			61.7%	51%	18.3
SRR27321858_GSM7989061_transcripts_quant	90.8%	15.8			
SRR27321858_pass_1			60.3%	51%	17.4
SRR27321858_pass_2			56.5%	52%	17.4
SRR27321859_GSM7989060_transcripts_quant	88.3%	16.1			
SRR27321859_pass_1			63.0%	51%	18.2
SRR27321859_pass_2			59.0%	52%	18.2
SRR27321860_GSM7989059_transcripts_quant	88.7%	16.1			
SRR27321860_pass_1			62.0%	52%	18.1
SRR27321860_pass_2			59.2%	52%	18.1
SRR27321861_GSM7989058_transcripts_quant	91.1%	13.3			
SRR27321861_pass_1			58.5%	53%	14.6
SRR27321861_pass_2			55.0%	53%	14.6
SRR27321862_GSM7989057_transcripts_quant	88.6%	16.1			
SRR27321862_pass_1			59.2%	52%	18.2
SRR27321862_pass_2			57.1%	52%	18.2
SRR27321863_GSM7989056_transcripts_quant	89.2%	16.3			
SRR27321863_pass_1			59.0%	53%	18.3
SRR27321863_pass_2			56.9%	53%	18.3
SRR27321864_GSM7989055_transcripts_quant	90.1%	16.5			
SRR27321864_pass_1			62.7%	53%	18.3
SRR27321864_pass_2			57.5%	53%	18.3
SRR27321865_GSM7989054_transcripts_quant	89.6%	16.4			
SRR27321865_pass_1			59.4%	52%	18.3
SRR27321865_pass_2			58.8%	52%	18.3
