Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR9854771_GSM3984151_transcripts_quant	38.8%	5.4			
SRR9854771_pass			25.2%	42%	13.9
SRR9854772_GSM3984151_transcripts_quant	38.8%	3.2			
SRR9854772_pass			21.2%	43%	8.3
SRR9854773_GSM3984151_transcripts_quant	38.8%	4.6			
SRR9854773_pass			24.2%	42%	11.9
SRR9854774_GSM3984151_transcripts_quant	38.3%	2.9			
SRR9854774_pass			19.9%	42%	7.6
SRR9854775_GSM3984152_transcripts_quant	40.6%	3.4			
SRR9854775_pass			24.7%	42%	8.5
SRR9854776_GSM3984152_transcripts_quant	40.6%	6.7			
SRR9854776_pass			34.6%	42%	16.6
SRR9854777_GSM3984152_transcripts_quant	40.6%	4.6			
SRR9854777_pass			29.4%	42%	11.5
SRR9854778_GSM3984152_transcripts_quant	40.0%	2.8			
SRR9854778_pass			22.0%	42%	7.1
SRR9854779_GSM3984153_transcripts_quant	41.8%	5.3			
SRR9854779_pass			25.1%	46%	12.6
SRR9854780_GSM3984153_transcripts_quant	41.8%	3.9			
SRR9854780_pass			22.8%	46%	9.4
SRR9854781_GSM3984153_transcripts_quant	41.8%	4.9			
SRR9854781_pass			24.3%	46%	11.8
SRR9854782_GSM3984153_transcripts_quant	41.2%	3.1			
SRR9854782_pass			19.8%	46%	7.5
SRR9854783_GSM3984154_transcripts_quant	44.6%	4.9			
SRR9854783_pass			26.7%	47%	11.0
SRR9854784_GSM3984154_transcripts_quant	44.6%	5.1			
SRR9854784_pass			27.2%	47%	11.4
SRR9854785_GSM3984154_transcripts_quant	44.5%	5.6			
SRR9854785_pass			28.1%	46%	12.6
SRR9854786_GSM3984154_transcripts_quant	43.9%	3.6			
SRR9854786_pass			22.9%	46%	8.2
SRR9854787_GSM3984155_transcripts_quant	41.9%	5.4			
SRR9854787_pass			22.0%	45%	12.8
SRR9854788_GSM3984155_transcripts_quant	42.0%	3.9			
SRR9854788_pass			19.1%	45%	9.3
SRR9854789_GSM3984155_transcripts_quant	41.8%	4.8			
SRR9854789_pass			21.0%	45%	11.6
SRR9854790_GSM3984155_transcripts_quant	41.3%	3.1			
SRR9854790_pass			16.6%	45%	7.4
SRR9854791_GSM3984156_transcripts_quant	42.2%	5.3			
SRR9854791_pass			23.8%	46%	12.5
SRR9854792_GSM3984156_transcripts_quant	42.2%	4.1			
SRR9854792_pass			21.7%	46%	9.6
SRR9854793_GSM3984156_transcripts_quant	42.2%	4.8			
SRR9854793_pass			22.4%	46%	11.4
SRR9854794_GSM3984156_transcripts_quant	41.6%	3.0			
SRR9854794_pass			18.4%	46%	7.3
SRR9854795_GSM3984157_transcripts_quant	45.7%	6.0			
SRR9854795_pass			23.8%	45%	13.0
SRR9854796_GSM3984157_transcripts_quant	45.8%	4.2			
SRR9854796_pass			20.9%	45%	9.2
SRR9854797_GSM3984157_transcripts_quant	45.6%	5.4			
SRR9854797_pass			23.1%	45%	11.9
SRR9854798_GSM3984157_transcripts_quant	45.0%	3.4			
SRR9854798_pass			18.5%	45%	7.6
SRR9854799_GSM3984158_transcripts_quant	39.8%	4.4			
SRR9854799_pass			25.6%	42%	10.9
SRR9854800_GSM3984158_transcripts_quant	39.8%	4.8			
SRR9854800_pass			26.5%	42%	11.9
SRR9854801_GSM3984158_transcripts_quant	39.8%	4.8			
SRR9854801_pass			26.7%	42%	12.0
