Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR10044439_GSM4054763_transcripts_quant	80.5%	31.9			
SRR10044439_pass_1			51.3%	47%	39.6
SRR10044439_pass_2			52.4%	48%	39.6
SRR10044440_GSM4054764_transcripts_quant	81.4%	22.5			
SRR10044440_pass_1			52.5%	47%	27.7
SRR10044440_pass_2			53.5%	48%	27.7
SRR10044441_GSM4054765_transcripts_quant	78.3%	24.0			
SRR10044441_pass_1			50.6%	48%	30.7
SRR10044441_pass_2			50.6%	48%	30.7
SRR10044442_GSM4054766_transcripts_quant	80.0%	36.8			
SRR10044442_pass_1			54.0%	47%	46.0
SRR10044442_pass_2			55.2%	48%	46.0
SRR10044443_GSM4054767_transcripts_quant	80.8%	18.5			
SRR10044443_pass_1			48.0%	48%	22.8
SRR10044443_pass_2			49.5%	49%	22.8
SRR10044444_GSM4054768_transcripts_quant	79.5%	30.7			
SRR10044444_pass_1			49.9%	48%	38.6
SRR10044444_pass_2			50.8%	48%	38.6
SRR10044445_GSM4054769_transcripts_quant	80.1%	20.4			
SRR10044445_pass_1			54.5%	48%	25.5
SRR10044445_pass_2			55.3%	48%	25.5
SRR10044446_GSM4054770_transcripts_quant	79.2%	25.3			
SRR10044446_pass_1			49.6%	47%	32.0
SRR10044446_pass_2			50.6%	48%	32.0
SRR10044447_GSM4054771_transcripts_quant	79.2%	31.7			
SRR10044447_pass_1			51.6%	47%	40.0
SRR10044447_pass_2			52.4%	47%	40.0
SRR10044448_GSM4054772_transcripts_quant	78.1%	30.8			
SRR10044448_pass_1			51.6%	45%	39.5
SRR10044448_pass_2			52.6%	46%	39.5
SRR10044449_GSM4054773_transcripts_quant	77.5%	30.4			
SRR10044449_pass_1			52.7%	46%	39.3
SRR10044449_pass_2			53.2%	47%	39.3
SRR10044450_GSM4054774_transcripts_quant	78.7%	33.8			
SRR10044450_pass_1			54.8%	46%	43.0
SRR10044450_pass_2			55.5%	47%	43.0
SRR10044451_GSM4054775_transcripts_quant	80.7%	23.4			
SRR10044451_pass_1			49.0%	48%	29.0
SRR10044451_pass_2			50.4%	49%	29.0
SRR10044452_GSM4054776_transcripts_quant	78.7%	17.2			
SRR10044452_pass_1			54.9%	47%	21.9
SRR10044452_pass_2			55.7%	48%	21.9
SRR10044453_GSM4054777_transcripts_quant	77.4%	25.1			
SRR10044453_pass_1			51.2%	47%	32.4
SRR10044453_pass_2			52.2%	48%	32.4
SRR10044454_GSM4054778_transcripts_quant	78.9%	34.1			
SRR10044454_pass_1			52.4%	46%	43.2
SRR10044454_pass_2			52.6%	46%	43.2
